Violations,AntennaViolations,RunTimeRoute,RunTimePlace,layercount,LayerM1,LayerM2,LayerM3,LayerM4,LayerM5,LayerM6,LayerM7,LayerL1,LayerL2,LayerL3,LayerL4,LayerBA,LayerBB,LayerBD,LayerBE,LayerBG,LayerFA,LayerFB,LayerU3T,LayerU3A,LayerLB,ViaCounts,NetCount,MetalStack,Date,Type40LP,RowDirection,RowCount,CoreUtil,CoreWidth,CoreHeight,AspectRatio,DoubleBack,FlipFirstRow,StartfromFirstRow
0,0,91,198,6,0,113171,152469,117125,0,0,0,0,0,0,0,52013,0,0,0,0,0,0,0,0,0,248446,25137,4L1x_1T2x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,166,194,6,0,117008,147616,119840,0,0,0,0,0,0,0,57214,0,0,0,0,0,0,0,0,0,244733,25137,4L1x_1T2x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,68,156,7,0,105623,128590,119600,47188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245127,25081,5L1x_1T18x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,135,155,7,0,100927,113545,128797,64609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246641,25081,5L1x_1T18x_LB,040619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,160,167,7,0,102066,114956,126747,63661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246525,25081,5L1x_1T18x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,66,157,7,0,94161,128233,113660,45862,0,0,0,0,0,0,18794,0,0,0,0,0,0,0,0,0,244750,25115,5L1x_1T2x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,155,170,7,0,92755,114637,111646,60263,0,0,0,0,0,0,27244,0,0,0,0,0,0,0,0,0,247715,25115,5L1x_1T2x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,73,167,8,0,104016,126988,116705,47680,0,0,0,0,0,0,0,0,0,0,0,5605,0,0,0,0,244630,25103,5L1x_1T6x_1T18x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,158,172,8,0,99974,114024,123090,62394,0,0,0,0,0,0,0,0,0,0,0,7910,0,0,0,0,245765,25103,5L1x_1T6x_1T18x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,68,152,7,0,104903,126673,115769,48136,0,0,0,0,0,0,0,0,0,0,0,6197,0,0,0,0,244605,25114,5L1x_1T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,171,199,7,1,100047,113516,122607,62626,0,0,0,0,0,0,0,0,0,0,0,8327,0,0,0,0,245104,25114,5L1x_1T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,69,152,7,0,104818,126963,115817,47942,0,0,0,0,0,0,0,0,0,0,0,6122,0,0,0,0,244632,25114,5L1x_1T6x_LB,090320,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,65,149,8,0,100879,123786,118132,50127,0,0,0,0,0,0,0,0,0,0,0,7315,396,0,0,0,246178,25113,5L1x_2T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,170,201,8,0,95971,112084,123327,62767,0,0,0,0,0,0,0,0,0,0,0,10816,895,0,0,0,247331,25113,5L1x_2T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,82,214,8,0,100712,123736,117973,50135,0,0,0,0,0,0,0,0,0,0,0,7521,412,0,0,0,246072,25113,5L1x_2T6x_LB,070619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,75,168,8,0,100737,123727,118101,50194,0,0,0,0,0,0,0,0,0,0,0,7513,415,0,0,0,246066,25113,5L1x_2T6x_LB,090320,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,68,156,8,0,100776,123828,118096,50033,0,0,0,0,0,0,0,0,0,0,0,7403,415,0,0,0,245885,25113,5L1x_2T6x_LB,100320,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
